git	archive	subcommand	Create an archive of files from a named tree
git	archive --format	option	Archive format
git	archive --prefix	option	Prepend prefix to each pathname in the archive
git	archive --add-file	option	Add untracked file to archive
git	archive -o	option	Write the archive to this file
git	archive --worktree-attributes	option	Read .gitattributes in working directory
git	archive -v	option	Report archived files on stderr
git	archive -NUM	option	Set compression level
git	archive -l	option	List supported archive formats
git	archive --remote	option	Retrieve the archive from remote repository <repo>
git	archive --exec	option	Path to the remote git-upload-archive command
git	blame	subcommand	
git	blame --incremental	option	Show blame entries as we find them, incrementally
git	blame -b	option	Do not show object names of boundary commits (Default: off)
git	blame --root	option	Do not treat root commits as boundaries (Default: off)
git	blame --show-stats	option	Show work cost statistics
git	blame --progress	option	Force progress reporting
git	blame --score-debug	option	Show output score for blame entries
git	blame -f	option	Show original filename (Default: auto)
git	blame -n	option	Show original linenumber (Default: off)
git	blame -p	option	Show in a format designed for machine consumption
git	blame --line-porcelain	option	Show porcelain format with per-line commit information
git	blame -c	option	Use the same output mode as git-annotate (Default: off)
git	blame -t	option	Show raw timestamp (Default: off)
git	blame -l	option	Show long commit SHA1 (Default: off)
git	blame -s	option	Suppress author name and timestamp (Default: off)
git	blame -e	option	Show author email instead of name (Default: off)
git	blame -w	option	Ignore whitespace differences
git	blame --ignore-rev	option	Ignore <rev> when blaming
git	blame --ignore-revs-file	option	Ignore revisions from <file>
git	blame --color-lines	option	Color redundant metadata from previous line differently
git	blame --color-by-age	option	Color lines by age
git	blame --minimal	option	Spend extra cycles to find better match
git	blame -S	option	Use revisions from <file> instead of calling git-rev-list
git	blame --contents	option	Use <file>'s contents as the final image
git	blame -C	option	Find line copies within and across files
git	blame -M	option	Find line movements within and across files
git	blame -L	option	Process only line range <start>,<end> or function :<funcname>
git	blame --abbrev	option	Use <n> digits to display object names
git	commit	subcommand	Record changes to the repository
git	commit -m	option	Use the given message as the commit message
git	commit -a	option	Stage all modified and deleted paths
git	commit -am	option	Stage all and use given text as commit message
git	commit -v	option	Show unified diff of all file changes
git	commit -p	option	Use the interactive patch selection interface to chose which changes to commi
git	commit -C	option	Take an existing commit object, and reuse the log message and the authorship
git	commit -c	option	Like -C, but with -c the editor is invoked, so that the user can further edit
git	commit --fixup	option	Construct a commit message for use with rebase --autosquash. The commit messa
git	commit --squash	option	Construct a commit message for use with rebase --autosquash. The commit messa
git	commit --reset-author	option	When used with -C/-c/--amend options, or when committing after a conflicting
git	commit --short	option	When doing a dry-run, give the output in the short-format. See git-status[1]
git	commit --branch	option	Show the branch and tracking info even in short-format
git	commit --porcelain	option	When doing a dry-run, give the output in a porcelain-ready format. See git-st
git	commit --long	option	When doing a dry-run, give the output in the long-format. Implies --dry-run
git	commit -z	option	When showing short or porcelain status output, print the filename verbatim an
git	commit -F	option	Take the commit message from the given file. Use - to read the message from t
git	commit --author	option	Override the commit author. Specify an explicit author using the standard A U
git	commit --date	option	Override the author date used in the commit
git	commit -t	option	When editing the commit message, start the editor with the contents in the gi
git	commit -s	option	Add a Signed-off-by trailer by the committer at the end of the commit log mes
git	commit --no-signoff	option	Don't add a Signed-off-by trailer by the committer at the end of the commit l
git	commit -n	option	This option bypasses the pre-commit and commit-msg hooks. See also githooks[5]
git	commit --allow-empty	option	Usually recording a commit that has the exact same tree as its sole parent co
git	commit --allow-empty-message	option	Like --allow-empty this command is primarily for use by foreign SCM interface
git	commit --cleanup	option	This option determines how the supplied commit message should be cleaned up b
git	commit -e	option	The message taken from file with -F, command line with -m, and from commit ob
git	commit --no-edit	option	Use the selected commit message without launching an editor. For example, git
git	commit --amend	option	Replace the tip of the current branch by creating a new commit. The recorded
git	commit --no-post-rewrite	option	Bypass the post-rewrite hook
git	commit -i	option	Before making a commit out of staged contents so far, stage the contents of p
git	commit -o	option	Make a commit by taking the updated working tree contents of the paths specif
git	commit --pathspec-from-file	option	Pathspec is passed in instead of commandline args. If is exactly - then stand
git	commit --pathspec-file-nul	option	Only meaningful with --pathspec-from-file. Pathspec elements are separated wi
git	commit -u	option	Show untracked files. The mode parameter is optional (defaults to all), and i
git	commit -q	option	Suppress commit summary message
git	commit --dry-run	option	Do not create a commit, but show a list of paths that are to be committed, pa
git	commit --status	option	Include the output of git-status[1] in the commit message template when using
git	commit --no-status	option	Do not include the output of git-status[1] in the commit message template whe
git	commit -S	option	GPG-sign commits. The keyid argument is optional and defaults to the committe
git	commit --no-gpg-sign	option	Dont GPG-sign commits
git	commit --	option	Do not interpret any more arguments as options
git	config	subcommand	Change Git configuration
git	config --local	option	Default: write to the repository .git/config file
git	config --global	option	For writing options: write to global ~/.gitconfig file rather than the repository .git/config
git	config --replace-all	option	Default behavior is to replace at most one line. This replaces all lines matc
git	config --add	option	Adds a new line to the option without altering any existing values. This is t
git	config --get	option	Get the value for a given key (optionally filtered by a regex matching the va
git	config --get-all	option	Like get, but returns all values for a multi-valued key
git	config --get-regexp	option	Like --get-all, but interprets the name as a regular expression and writes ou
git	config --get-urlmatch	option	When given a two-part name section.key, the value for section..key whose part
git	config --system	option	For writing options: write to system-wide $(prefix)/etc/gitconfig rather than
git	config --worktree	option	Similar to --local except that.git/config.worktree is read from or written to
git	config -f	option	Use the given config file instead of the one specified by GIT_CONFIG
git	config --blob	option	Similar to --file but use the given blob instead of a file. E.g. you can use
git	config --remove-section	option	Remove the given section from the configuration file
git	config --rename-section	option	Rename the given section to a new name
git	config --unset	option	Remove the line matching the key from config file
git	config --unset-all	option	Remove all lines matching the key from config file
git	config -l	option	List all variables set in config file, along with their values
git	config --fixed-value	option	When used with the value-pattern argument, treat value-pattern as an exact st
git	config --type	option	Git config will ensure that any input or output is valid under the given type
git	config --no-type	option	Un-sets the previously set type specifier (if one was previously set). This o
git	config -z	option	For all options that output values and/or keys, always end values with the nu
git	config --name-only	option	Output only the names of config variables for --list or --get-regexp
git	config --show-origin	option	Augment the output of all queried config options with the origin type (file
git	config --show-scope	option	Similar to --show-origin in that it augments the output of all queried config
git	config --get-colorbool	option	Find the color setting for name (e.g. color.diff) and output "true" or "false
git	config --get-color	option	Find the color configured for name (e.g. color.diff.new) and output it as the
git	config -e	option	Opens an editor to modify the specified config file; either --system, --globa
git	config --includes	option	Respect include.* directives in config files when looking up values. Defaults
git	config --no-includes	option	Respect include.* directives in config files when looking up values. Defaults
git	config --default	option	When using --get, and the requested variable is not found, behave as if were
git	rebase	subcommand	Reapply commits on top of another base tip
git	rebase --onto	option	Starting point at which to create the new commits. If the --onto option is not specified, the starting point is <upstrea
git	rebase --keep-base	option	Set the starting point at which to create the new commits to the merge base of <upstream> <branch>. Running git rebase -
git	rebase --continue	option	Restart the rebasing process after having resolved a merge conflict
git	rebase --abort	option	Abort the rebase operation and reset HEAD to the original branch. If <branch> was provided when the rebase operation was
git	rebase --quit	option	Abort the rebase operation but HEAD is not reset back to the original branch. The index and working tree are also left u
git	rebase --apply	option	Use applying strategies to rebase (calling git-am internally). This option may become a no-op in the future once the mer
git	rebase --empty	option	How to handle commits that are not empty to start and are not clean cherry-picks of any upstream commit, but which becom
git	rebase --no-keep-empty	option	Do not keep commits that start empty before the rebase (i.e. that do not change anything from its parent) in the result.
git	rebase --keep-empty	option	Keep commits that start empty before the rebase (i.e. that do not change anything from its parent) in the result. The de
